User ID,Name of the games,Purchases,Hours Played
151603712,The Elder Scrolls V Skyrim,free,273
151603712,Fallout 4,purchase,1
151603712,Fallout 4,free,87
151603712,Spore,purchase,1
151603712,Spore,free,14.9
151603712,Fallout New Vegas,purchase,1
151603712,Fallout New Vegas,free,12.1
151603712,Left 4 Dead 2,purchase,1
151603712,Left 4 Dead 2,free,8.9
151603712,HuniePop,purchase,1
151603712,HuniePop,free,8.5
151603712,Path of Exile,purchase,1
151603712,Path of Exile,free,8.1
151603712,Poly Bridge,purchase,1
151603712,Poly Bridge,free,7.5
151603712,Left 4 Dead,purchase,1
151603712,Left 4 Dead,free,3.3
151603712,Team Fortress 2,purchase,1
151603712,Team Fortress 2,free,2.8
151603712,Tomb Raider,purchase,1
151603712,Tomb Raider,free,2.5
151603712,The Banner Saga,purchase,1
151603712,The Banner Saga,free,2
151603712,Dead Island Epidemic,purchase,1
151603712,Dead Island Epidemic,free,1.4
151603712,BioShock Infinite,purchase,1
151603712,BioShock Infinite,free,1.3
151603712,Dragon Age Origins - Ultimate Edition,purchase,1
151603712,Dragon Age Origins - Ultimate Edition,free,1.3
151603712,Fallout 3 - Game of the Year Edition,purchase,1
151603712,Fallout 3 - Game of the Year Edition,free,0.8
151603712,SEGA Genesis & Mega Drive Classics,purchase,1
151603712,SEGA Genesis & Mega Drive Classics,free,0.8
151603712,Grand Theft Auto IV,purchase,1
151603712,Grand Theft Auto IV,free,0.6
151603712,Realm of the Mad God,purchase,1
151603712,Realm of the Mad God,free,0.5
151603712,Marvel Heroes 2015,purchase,1
151603712,Marvel Heroes 2015,free,0.5
151603712,Eldevin,purchase,1
151603712,Eldevin,free,0.5
151603712,Dota 2,purchase,1
151603712,Dota 2,free,0.5
151603712,BioShock,purchase,1
151603712,BioShock,free,0.5
151603712,Robocraft,purchase,1
151603712,Robocraft,free,0.4
151603712,Garry's Mod,purchase,1
151603712,Garry's Mod,free,0.1
151603712,Jazzpunk,purchase,1
151603712,Jazzpunk,free,0.1
151603712,Alan Wake,purchase,1
151603712,BioShock 2,purchase,1
151603712,Fallen Earth,purchase,1
151603712,Fallout New Vegas Courier's Stash,purchase,1
151603712,Fallout New Vegas Dead Money,purchase,1
151603712,Fallout New Vegas Honest Hearts,purchase,1
151603712,Grand Theft Auto Episodes from Liberty City,purchase,1
151603712,Hitman Absolution,purchase,1
151603712,HuniePop Official Digital Art Collection,purchase,1
151603712,HuniePop Original Soundtrack,purchase,1
151603712,The Banner Saga - Mod Content,purchase,1
151603712,The Elder Scrolls V Skyrim - Dawnguard,purchase,1
151603712,The Elder Scrolls V Skyrim - Dragonborn,purchase,1
151603712,The Elder Scrolls V Skyrim - Hearthfire,purchase,1
187131847,Dota 2,purchase,1
187131847,Dota 2,free,2.3
59945701,Ultra Street Fighter IV,purchase,1
59945701,Ultra Street Fighter IV,free,238
59945701,FINAL FANTASY XIII,purchase,1
59945701,FINAL FANTASY XIII,free,84
59945701,The Elder Scrolls V Skyrim,purchase,1
59945701,The Elder Scrolls V Skyrim,free,58
59945701,Sid Meier's Civilization V,purchase,1
59945701,Sid Meier's Civilization V,free,22
59945701,L.A. Noire,purchase,1
59945701,L.A. Noire,free,13.8
59945701,Company of Heroes Tales of Valor,purchase,1
59945701,Company of Heroes Tales of Valor,free,10.2
59945701,7 Days to Die,purchase,1
59945701,7 Days to Die,free,7.8
59945701,Divekick,purchase,1
59945701,Divekick,free,7
59945701,FINAL FANTASY VII,purchase,1
59945701,FINAL FANTASY VII,free,5.2
59945701,Orcs Must Die! 2,purchase,1
59945701,Orcs Must Die! 2,free,4.8
59945701,Killing Floor,purchase,1
59945701,Killing Floor,free,3.4
59945701,Company of Heroes,purchase,1
59945701,Company of Heroes,free,3.2
59945701,Bastion,purchase,1
59945701,Bastion,free,2.8
59945701,Undertale,purchase,1
59945701,Undertale,free,2.6
59945701,Counter-Strike Global Offensive,purchase,1
59945701,Counter-Strike Global Offensive,free,2.3
59945701,Orcs Must Die!,purchase,1
59945701,Orcs Must Die!,free,0.7
59945701,THE KING OF FIGHTERS XIII STEAM EDITION,purchase,1
59945701,THE KING OF FIGHTERS XIII STEAM EDITION,free,0.6
59945701,GUILTY GEAR XX ACCENT CORE PLUS R,purchase,1
59945701,GUILTY GEAR XX ACCENT CORE PLUS R,free,0.5
59945701,Skullgirls,purchase,1
59945701,Skullgirls,free,0.4
59945701,Assassin's Creed II,purchase,1
59945701,Assassin's Creed II,free,0.3
59945701,Company of Heroes Opposing Fronts,purchase,1
59945701,Company of Heroes Opposing Fronts,free,0.1
59945701,Team Fortress 2,purchase,1
59945701,Team Fortress 2,free,0.1
59945701,Guilty Gear X2 #Reload,purchase,1
59945701,Left 4 Dead 2,purchase,1
59945701,Psychonauts,purchase,1
59945701,Cities in Motion 2,purchase,1
59945701,Company of Heroes (New Steam Version),purchase,1
59945701,Company of Heroes 2,purchase,1
59945701,Fallout New Vegas,purchase,1
59945701,Fallout New Vegas Courier's Stash,purchase,1
59945701,Fallout New Vegas Dead Money,purchase,1
59945701,Fallout New Vegas Honest Hearts,purchase,1
59945701,Garry's Mod,purchase,1
59945701,Killing Floor Mod Defence Alliance 2,purchase,1
59945701,Magicka,purchase,1
59945701,Magicka Vietnam,purchase,1
59945701,Natural Selection 2,purchase,1
59945701,Psychonauts Demo,purchase,1
59945701,Sanctum,purchase,1
59945701,Sanctum 2,purchase,1
59945701,Serious Sam 3 BFE,purchase,1
59945701,Skullgirls Endless Beta,purchase,1
59945701,Skyrim High Resolution Texture Pack,purchase,1
53875128,Grand Theft Auto V,purchase,1
53875128,Grand Theft Auto V,free,86
53875128,Insurgency,purchase,1
53875128,Insurgency,free,72
53875128,Left 4 Dead 2,purchase,1
53875128,Left 4 Dead 2,free,71
53875128,METAL GEAR SOLID V THE PHANTOM PAIN,purchase,1
