Unique Titles,Total Hours
The Elder Scrolls V Skyrim,333
Fallout 4,88
Spore,17.4
Fallout New Vegas,22.6
Left 4 Dead 2,83.9
HuniePop,9.5
Path of Exile,9.1
Poly Bridge,8.5
Left 4 Dead,7
Team Fortress 2,102.3
Tomb Raider,14.3
The Banner Saga,4
Dead Island Epidemic,5
BioShock Infinite,3.3
Dragon Age Origins - Ultimate Edition,3.3
Fallout 3 - Game of the Year Edition,1.8
SEGA Genesis & Mega Drive Classics,1.8
Grand Theft Auto IV,4.1
Realm of the Mad God,1.5
Marvel Heroes 2015,1.5
Eldevin,1.5
Dota 2,2004
BioShock,3.3
Robocraft,4.7
Garry's Mod,13.3
Jazzpunk,2.1
Alan Wake,2
BioShock 2,2
Fallen Earth,1
Fallout New Vegas Courier's Stash,3
Fallout New Vegas Dead Money,3
Fallout New Vegas Honest Hearts,3
Grand Theft Auto Episodes from Liberty City,1
Hitman Absolution,2
HuniePop Official Digital Art Collection,1
HuniePop Original Soundtrack,1
The Banner Saga - Mod Content,2
The Elder Scrolls V Skyrim - Dawnguard,1
The Elder Scrolls V Skyrim - Dragonborn,1
The Elder Scrolls V Skyrim - Hearthfire,1
Ultra Street Fighter IV,239
FINAL FANTASY XIII,85
Sid Meier's Civilization V,29.9
L.A. Noire,17.1
Company of Heroes Tales of Valor,12.2
7 Days to Die,8.8
Divekick,8
FINAL FANTASY VII,7.8
Orcs Must Die! 2,5.8
Killing Floor,5.4
Company of Heroes,5.2
Bastion,14.4
Undertale,4.6
Counter-Strike Global Offensive,756.3
Orcs Must Die!,1.7
THE KING OF FIGHTERS XIII STEAM EDITION,1.6
GUILTY GEAR XX ACCENT CORE PLUS R,1.5
Skullgirls,2.5
Assassin's Creed II,35.3
Company of Heroes Opposing Fronts,2.1
Guilty Gear X2 #Reload,1
Psychonauts,2.5
Cities in Motion 2,1
Company of Heroes (New Steam Version),2
Company of Heroes 2,1
Killing Floor Mod Defence Alliance 2,2
Magicka,2
Magicka Vietnam,1
Natural Selection 2,1
Psychonauts Demo,2
Sanctum,1
Sanctum 2,1
Serious Sam 3 BFE,2
Skullgirls Endless Beta,2
Skyrim High Resolution Texture Pack,1
Grand Theft Auto V,87
Insurgency,73
METAL GEAR SOLID V THE PHANTOM PAIN,60
S.T.A.L.K.E.R. Shadow of Chernobyl,55
S.T.A.L.K.E.R. Call of Pripyat,51
Saints Row The Third,36
Far Cry 3,39.2
S.T.A.L.K.E.R. Clear Sky,36
Rocket League,35
Far Cry 4,33
Prototype,26
Space Pirates and Zombies,35.5
Dying Light,24
Just Cause 2,24
Mirror's Edge,25.5
Mad Max,23
Portal 2,22
Deus Ex Human Revolution,22
Middle-earth Shadow of Mordor,47.6
RUNNING WITH RIFLES,19.5
Deus Ex Human Revolution - Director's Cut,19.3
Batman Arkham City GOTY,17.9
Tropico 4,15.3
Cave Story+,14.7
Dust An Elysian Tail,14.4
F.E.A.R.,13.5
South Park The Stick of Truth,13.2
Sleeping Dogs,12.5
Watch_Dogs,12.2
Saints Row IV,61.1
DayZ,12
Half-Life 2,11.2
Reassembly,11.1
Sid Meier's Civilization III Complete,10.8
The Talos Principle,10.8
DiRT 3,10.7
FTL Faster Than Light,10.7
Age of Empires II HD Edition,10
Batman Arkham Asylum GOTY Edition,9.9
Gunpoint,9.6
Rebuild 3 Gangs of Deadsville,9.4
Recettear An Item Shop's Tale,9.3
Metro 2033,8.8
Monaco,8.6
Overgrowth,8.3
